Symbol,Side,Cxl,Qty,Price,Bid,Ask,Date1,Date2,TradeID,TradeTiSS,Label,Exbkr,TradeCommType,SourceCommission,Account,OrderID,GTL,GTL-STA,Trailer,Info,Clr,Val1,Val2
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480108,28,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480115,28,473640
S,SS,NEW,300,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480121,28,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480159,28,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480297,29,473640
S,SS,NEW,300,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480306,29,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480315,29,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480324,29,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480327,29,0
S,SS,NEW,100,8.2100004736,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480331,29,473640
